task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,cc867583-3e2b-460c-93d3-599cee5ecf30,kaptain-worker3,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-001,pilot-burst0-001,a311d65c-5ea7-49fc-af9e-77f6e022cf43,kaptain-worker,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-002,pilot-burst0-002,4607df9b-7fd6-4189-a796-4b5976d398b4,kaptain-worker,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-003,pilot-burst0-003,6ef0053e-df98-415d-a007-219cea45104e,kaptain-worker2,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-004,pilot-burst0-004,8de6f472-d662-480b-9747-81972764a1c8,kaptain-worker,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-005,pilot-burst0-005,4e48c018-6dd0-427f-a75e-4bd76bb8678b,kaptain-worker2,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-006,pilot-burst0-006,ac025d4e-de50-4285-af76-dffbc99449fe,kaptain-worker2,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-007,pilot-burst0-007,99b570d0-510e-4f6f-88da-760542d71dac,kaptain-worker3,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-008,pilot-burst0-008,12053fd0-2e74-43dc-a6d7-afb10f82cb49,kaptain-worker2,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst0-009,pilot-burst0-009,b9041d05-b034-4f2d-9e09-2cf6d82f43ed,kaptain-worker3,Running,2026-09-17T21:58:16Z,2026-09-17T21:58:16Z,True
pilot-burst1-000,pilot-burst1-000,1d301ea9-52a4-4927-9220-c30aa04674f0,kaptain-worker3,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-001,pilot-burst1-001,b9328ec4-bb55-48f3-886f-9fa46ccb9041,kaptain-worker2,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-002,pilot-burst1-002,f8655ded-773a-41ef-84a6-f4c33081f8fd,kaptain-worker,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-003,pilot-burst1-003,338023d4-319b-4960-896c-76fd88d5a3b2,kaptain-worker3,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-004,pilot-burst1-004,7d20ab1d-3956-4ee8-93a4-3006efed64de,kaptain-worker2,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-005,pilot-burst1-005,9c800f0a-6c3d-4bdd-a86d-ac2be149e06b,kaptain-worker,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-006,pilot-burst1-006,8f159166-c537-41ff-9a9b-c4d38ce0d34e,kaptain-worker3,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-007,pilot-burst1-007,9e65c377-17bd-41c1-bee7-3619aceb520c,kaptain-worker2,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-008,pilot-burst1-008,08e7247f-d471-4f21-a1b5-7cc424e8b101,kaptain-worker2,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst1-009,pilot-burst1-009,1066188e-b4c0-4c75-aaef-d821859b23d5,kaptain-worker,Running,2026-09-17T21:58:26Z,2026-09-17T21:58:26Z,True
pilot-burst2-000,pilot-burst2-000,07d6afd1-0ba3-4837-82eb-1f0c71f194af,kaptain-worker,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-001,pilot-burst2-001,e8b4fd44-3d58-4596-8f84-38f8b3d9fd4e,kaptain-worker2,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-002,pilot-burst2-002,29dececc-ba1b-411a-a0e8-dcb82e5b97fa,kaptain-worker3,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-003,pilot-burst2-003,10db5f2f-f88c-406a-8de2-a410d70516f0,kaptain-worker,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-004,pilot-burst2-004,43600971-515f-4a4c-a58d-1f6328ff0cef,kaptain-worker3,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-005,pilot-burst2-005,4afb8ad3-17cf-435a-8bcc-edbb9de2fef9,kaptain-worker,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-006,pilot-burst2-006,4f426914-e9dc-4273-9bd8-dcd0cb71af1d,kaptain-worker2,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-007,pilot-burst2-007,71213124-af5c-4600-b7a4-327b27650960,kaptain-worker3,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-008,pilot-burst2-008,22c45e85-d791-45a1-abc5-258b4c4e7637,kaptain-worker3,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-burst2-009,pilot-burst2-009,1f4cd330-14c1-4c0d-b5fd-8b68bc14ab3d,kaptain-worker,Pending,2026-09-17T21:58:36Z,2026-09-17T21:58:36Z,True
pilot-steady-000,pilot-steady-000,33d15e1e-1583-4616-8b20-61e1a7d6f944,kaptain-worker,Running,2026-09-17T21:57:36Z,2026-09-17T21:57:36Z,True
pilot-steady-001,pilot-steady-001,6d3e33ac-c67c-419a-b81b-8333ccabd086,kaptain-worker2,Running,2026-09-17T21:57:37Z,2026-09-17T21:57:37Z,True
pilot-steady-002,pilot-steady-002,22d6385b-3c75-4b1d-b2a9-ce7ea91bbfd6,kaptain-worker2,Running,2026-09-17T21:57:38Z,2026-09-17T21:57:38Z,True
pilot-steady-003,pilot-steady-003,cc9e24a2-77de-4d6a-9544-9c8992f8d16d,kaptain-worker3,Running,2026-09-17T21:57:39Z,2026-09-17T21:57:39Z,True
pilot-steady-004,pilot-steady-004,cd5e92a9-796e-476c-80ec-b14ad56baabf,kaptain-worker2,Running,2026-09-17T21:57:40Z,2026-09-17T21:57:40Z,True
pilot-steady-005,pilot-steady-005,9aa82c76-a4f4-4a17-99a7-109ce491ca5d,kaptain-worker3,Running,2026-09-17T21:57:41Z,2026-09-17T21:57:41Z,True
pilot-steady-006,pilot-steady-006,4e6c3bc7-88a2-4f75-bd98-6cbfacd7e42b,kaptain-worker3,Running,2026-09-17T21:57:42Z,2026-09-17T21:57:42Z,True
pilot-steady-007,pilot-steady-007,d3cfc3f3-411f-466d-8dab-6b8535364b63,kaptain-worker,Running,2026-09-17T21:57:43Z,2026-09-17T21:57:43Z,True
pilot-steady-008,pilot-steady-008,29505cbe-1291-4a21-bd6e-843cc6c2fd44,kaptain-worker3,Running,2026-09-17T21:57:44Z,2026-09-17T21:57:44Z,True
pilot-steady-009,pilot-steady-009,383d4c16-826b-4cc8-b28e-82a4a2044756,kaptain-worker,Running,2026-09-17T21:57:45Z,2026-09-17T21:57:45Z,True
pilot-steady-010,pilot-steady-010,c4c2a3e7-f18d-45d7-8738-5f9f8d280c64,kaptain-worker3,Running,2026-09-17T21:57:46Z,2026-09-17T21:57:46Z,True
pilot-steady-011,pilot-steady-011,0cb2c6ae-ed74-4f00-9bc4-ef6ca1a8ff4c,kaptain-worker2,Running,2026-09-17T21:57:47Z,2026-09-17T21:57:47Z,True
pilot-steady-012,pilot-steady-012,9eccb698-20c9-4770-833a-ec0625ee8db0,kaptain-worker2,Running,2026-09-17T21:57:48Z,2026-09-17T21:57:48Z,True
pilot-steady-013,pilot-steady-013,40610f0e-b185-4fec-bd8e-d9b1f733bec4,kaptain-worker,Running,2026-09-17T21:57:49Z,2026-09-17T21:57:49Z,True
pilot-steady-014,pilot-steady-014,2b358d8c-a2af-4a4a-b503-79e782247622,kaptain-worker2,Running,2026-09-17T21:57:50Z,2026-09-17T21:57:50Z,True
pilot-steady-015,pilot-steady-015,99fd5853-d53c-4c2f-a20b-6ba7732c17e7,kaptain-worker,Running,2026-09-17T21:57:51Z,2026-09-17T21:57:51Z,True
pilot-steady-016,pilot-steady-016,a9f46038-c8bd-4855-9d78-20000da0e125,kaptain-worker,Running,2026-09-17T21:57:52Z,2026-09-17T21:57:52Z,True
pilot-steady-017,pilot-steady-017,9560f0f5-0fe2-48d3-be14-6527f27ecfa0,kaptain-worker3,Running,2026-09-17T21:57:53Z,2026-09-17T21:57:53Z,True
pilot-steady-018,pilot-steady-018,f97cc042-99f8-4cf4-a73b-648d514d5941,kaptain-worker2,Running,2026-09-17T21:57:54Z,2026-09-17T21:57:54Z,True
