task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,976cf1eb-8fd6-428c-9d3c-dbd67c1f55a0,kaptain-worker3,Running,2026-09-17T22:03:20Z,2026-09-17T22:03:20Z,True
pilot-burst0-001,pilot-burst0-001,7dbee55b-0f2a-4a8d-b897-b76b49fa8e8f,kaptain-worker,Running,2026-09-17T22:03:20Z,2026-09-17T22:03:20Z,True
pilot-burst0-002,pilot-burst0-002,5b0339bd-c601-4d96-b4d2-90008cb4eee8,kaptain-worker,Running,2026-09-17T22:03:20Z,2026-09-17T22:03:20Z,True
pilot-burst0-003,pilot-burst0-003,f83e97bf-19eb-49a9-b1d9-6f34751a19ff,kaptain-worker2,Running,2026-09-17T22:03:20Z,2026-09-17T22:03:20Z,True
pilot-burst0-004,pilot-burst0-004,1befab64-276d-4ac4-8f2f-4db163d77a33,kaptain-worker,Running,2026-09-17T22:03:21Z,2026-09-17T22:03:21Z,True
pilot-burst0-005,pilot-burst0-005,ba9f2929-0ecf-4568-a997-3477193c2dce,kaptain-worker2,Running,2026-09-17T22:03:21Z,2026-09-17T22:03:21Z,True
pilot-burst0-006,pilot-burst0-006,cdc4a079-bea4-4fa4-aa2b-8eabbdd0bd06,kaptain-worker2,Running,2026-09-17T22:03:21Z,2026-09-17T22:03:21Z,True
pilot-burst0-007,pilot-burst0-007,124b3603-7d53-4126-8891-c1d726fd12ab,kaptain-worker3,Running,2026-09-17T22:03:21Z,2026-09-17T22:03:21Z,True
pilot-burst0-008,pilot-burst0-008,1d7ee087-f7c7-4118-9447-ee34688bc426,kaptain-worker2,Running,2026-09-17T22:03:21Z,2026-09-17T22:03:21Z,True
pilot-burst0-009,pilot-burst0-009,b573215d-c828-4a6f-b4ba-59b3c398055f,kaptain-worker3,Running,2026-09-17T22:03:21Z,2026-09-17T22:03:21Z,True
pilot-burst1-000,pilot-burst1-000,cdddb09e-d79a-4840-8462-9a26780ef51b,kaptain-worker3,Running,2026-09-17T22:03:30Z,2026-09-17T22:03:30Z,True
pilot-burst1-001,pilot-burst1-001,3d4bb3fa-6991-40c2-9b6f-20f50260bed3,kaptain-worker2,Running,2026-09-17T22:03:30Z,2026-09-17T22:03:30Z,True
pilot-burst1-002,pilot-burst1-002,f3b209b0-f0ce-4d42-8208-eae6dcc8bd8f,kaptain-worker,Running,2026-09-17T22:03:30Z,2026-09-17T22:03:30Z,True
pilot-burst1-003,pilot-burst1-003,06ed9884-fae2-42b4-a905-13550d3c003e,kaptain-worker3,Running,2026-09-17T22:03:30Z,2026-09-17T22:03:30Z,True
pilot-burst1-004,pilot-burst1-004,51948635-0308-4a2e-8f39-21781aacfd17,kaptain-worker2,Running,2026-09-17T22:03:31Z,2026-09-17T22:03:31Z,True
pilot-burst1-005,pilot-burst1-005,403bc5ce-93bd-4acb-a284-503ad102b3a3,kaptain-worker,Running,2026-09-17T22:03:31Z,2026-09-17T22:03:31Z,True
pilot-burst1-006,pilot-burst1-006,2ac9bb07-97b1-413b-83d1-3228534e586f,kaptain-worker3,Running,2026-09-17T22:03:31Z,2026-09-17T22:03:31Z,True
pilot-burst1-007,pilot-burst1-007,fa9c4de1-c6cf-4d85-93cb-1e4ad2734ee4,kaptain-worker2,Running,2026-09-17T22:03:31Z,2026-09-17T22:03:31Z,True
pilot-burst1-008,pilot-burst1-008,2c01d40d-495a-4392-8102-3a3f624b078c,kaptain-worker2,Running,2026-09-17T22:03:31Z,2026-09-17T22:03:31Z,True
pilot-burst1-009,pilot-burst1-009,98bf1985-1522-4895-8c91-888c1b5b44cb,kaptain-worker,Running,2026-09-17T22:03:31Z,2026-09-17T22:03:31Z,True
pilot-burst2-000,pilot-burst2-000,3a1cd45c-cefa-462e-aabf-8064c36d8683,kaptain-worker,Pending,2026-09-17T22:03:40Z,2026-09-17T22:03:40Z,True
pilot-burst2-001,pilot-burst2-001,8ed69228-db44-491b-9b8b-2dbf492cc0d6,kaptain-worker2,Pending,2026-09-17T22:03:40Z,2026-09-17T22:03:40Z,True
pilot-burst2-002,pilot-burst2-002,aff6166b-c48b-479b-b5ab-33b04d8e1b89,kaptain-worker3,Pending,2026-09-17T22:03:40Z,2026-09-17T22:03:40Z,True
pilot-burst2-003,pilot-burst2-003,2adc5b4f-addb-4010-8bd0-66e3cac14388,kaptain-worker,Pending,2026-09-17T22:03:40Z,2026-09-17T22:03:40Z,True
pilot-burst2-004,pilot-burst2-004,68ef426c-b8ab-4d29-b20a-19f0511c9998,kaptain-worker3,Pending,2026-09-17T22:03:40Z,2026-09-17T22:03:41Z,True
pilot-burst2-005,pilot-burst2-005,43d4e157-3c7e-45b3-ae32-0052bf59d5b1,kaptain-worker,Pending,2026-09-17T22:03:41Z,2026-09-17T22:03:41Z,True
pilot-burst2-006,pilot-burst2-006,0914d856-81af-40b1-890e-0e6630a4f993,kaptain-worker2,Pending,2026-09-17T22:03:41Z,2026-09-17T22:03:41Z,True
pilot-burst2-007,pilot-burst2-007,84f2c46f-b32f-4f30-b74f-bade2e9b56f8,kaptain-worker3,Pending,2026-09-17T22:03:41Z,2026-09-17T22:03:41Z,True
pilot-burst2-008,pilot-burst2-008,333621be-e2f1-4e1f-ad28-173d1ee73771,kaptain-worker3,Pending,2026-09-17T22:03:41Z,2026-09-17T22:03:41Z,True
pilot-burst2-009,pilot-burst2-009,f474d11e-9c7b-48d0-8123-d5c11a95f15c,kaptain-worker,Pending,2026-09-17T22:03:41Z,2026-09-17T22:03:41Z,True
pilot-steady-000,pilot-steady-000,df2749de-8878-4e21-b882-c609220d8be2,kaptain-worker,Running,2026-09-17T22:02:40Z,2026-09-17T22:02:40Z,True
pilot-steady-001,pilot-steady-001,8ca4544e-d9bc-4c42-8f89-3af56d34423c,kaptain-worker2,Running,2026-09-17T22:02:41Z,2026-09-17T22:02:41Z,True
