task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,d03c53ba-6002-4e63-a0cd-085d2128e509,kaptain-worker3,Running,2026-09-17T22:18:56Z,2026-09-17T22:18:56Z,True
pilot-burst0-001,pilot-burst0-001,efc26e5b-ba84-4f22-8685-8390131cf2e0,kaptain-worker,Running,2026-09-17T22:18:56Z,2026-09-17T22:18:56Z,True
pilot-burst0-002,pilot-burst0-002,4ffd8722-6e1d-466f-82fc-ce1e03dd06bd,kaptain-worker,Running,2026-09-17T22:18:56Z,2026-09-17T22:18:56Z,True
pilot-burst0-003,pilot-burst0-003,99d8f0ec-eb86-42c1-9c12-b0512250d70b,kaptain-worker2,Running,2026-09-17T22:18:56Z,2026-09-17T22:18:56Z,True
pilot-burst0-004,pilot-burst0-004,333a2bf5-5aa9-47f2-bb30-804b3a23ce9f,kaptain-worker,Running,2026-09-17T22:18:56Z,2026-09-17T22:18:56Z,True
pilot-burst0-005,pilot-burst0-005,d8c86659-cfd3-4a4e-a4a8-d233fadef478,kaptain-worker2,Running,2026-09-17T22:18:56Z,2026-09-17T22:18:56Z,True
pilot-burst0-006,pilot-burst0-006,1cdb6843-0c68-4b36-9149-c530af65b127,kaptain-worker2,Running,2026-09-17T22:18:57Z,2026-09-17T22:18:57Z,True
pilot-burst0-007,pilot-burst0-007,cdd48954-5a3a-4819-bd4d-bbc14e3580e1,kaptain-worker3,Running,2026-09-17T22:18:57Z,2026-09-17T22:18:57Z,True
pilot-burst0-008,pilot-burst0-008,951c5349-1534-41ae-9498-cc08f86ed8f2,kaptain-worker2,Running,2026-09-17T22:18:57Z,2026-09-17T22:18:57Z,True
pilot-burst0-009,pilot-burst0-009,ea63fc14-1395-4b83-b4ba-e9e774bfb2a1,kaptain-worker3,Running,2026-09-17T22:18:57Z,2026-09-17T22:18:57Z,True
pilot-burst1-000,pilot-burst1-000,8ae0aa77-5f8e-4008-8113-7a2d4ebc23d6,kaptain-worker3,Running,2026-09-17T22:19:06Z,2026-09-17T22:19:06Z,True
pilot-burst1-001,pilot-burst1-001,edb4029a-2566-4eda-a8c1-4e6716a4e637,kaptain-worker2,Running,2026-09-17T22:19:06Z,2026-09-17T22:19:06Z,True
pilot-burst1-002,pilot-burst1-002,d116d880-08cc-4e02-bcb1-b75dcf220eb2,kaptain-worker,Running,2026-09-17T22:19:06Z,2026-09-17T22:19:06Z,True
pilot-burst1-003,pilot-burst1-003,cf7fa422-cd5a-43b6-915f-ff66cf6d2ae4,kaptain-worker3,Running,2026-09-17T22:19:06Z,2026-09-17T22:19:06Z,True
pilot-burst1-004,pilot-burst1-004,82dedff0-1ce1-403a-8f88-d223318fb628,kaptain-worker2,Running,2026-09-17T22:19:06Z,2026-09-17T22:19:06Z,True
pilot-burst1-005,pilot-burst1-005,08200181-bc08-4fac-9f51-c9b55773e2a9,kaptain-worker,Running,2026-09-17T22:19:06Z,2026-09-17T22:19:06Z,True
pilot-burst1-006,pilot-burst1-006,6a28632a-82ef-4258-b2c7-c29ef8f11ee3,kaptain-worker3,Running,2026-09-17T22:19:06Z,2026-09-17T22:19:06Z,True
pilot-burst1-007,pilot-burst1-007,19c49ad1-dd1e-424b-9740-d6560d64f834,kaptain-worker2,Running,2026-09-17T22:19:07Z,2026-09-17T22:19:07Z,True
pilot-burst1-008,pilot-burst1-008,8052c8fb-306f-4001-bd5c-4e4a6108a576,kaptain-worker2,Running,2026-09-17T22:19:07Z,2026-09-17T22:19:07Z,True
pilot-burst1-009,pilot-burst1-009,b4bb1e5e-cb48-4e9b-9aa9-465d7aa9482b,kaptain-worker,Running,2026-09-17T22:19:07Z,2026-09-17T22:19:07Z,True
pilot-burst2-000,pilot-burst2-000,dd9c542e-4438-4fb9-9ba4-984696bea3c2,kaptain-worker,Pending,2026-09-17T22:19:16Z,2026-09-17T22:19:16Z,True
pilot-burst2-001,pilot-burst2-001,18f587d6-20a6-473b-b804-9b7aa0112c03,kaptain-worker2,Pending,2026-09-17T22:19:16Z,2026-09-17T22:19:16Z,True
pilot-burst2-002,pilot-burst2-002,25d8e6cb-4711-4f1c-970d-b9a84bae0ec5,kaptain-worker3,Pending,2026-09-17T22:19:16Z,2026-09-17T22:19:16Z,True
pilot-burst2-003,pilot-burst2-003,caef0e79-36a0-431e-afde-f85df413198f,kaptain-worker,Pending,2026-09-17T22:19:16Z,2026-09-17T22:19:16Z,True
pilot-burst2-004,pilot-burst2-004,11e0994a-c935-462b-a2bf-0b3f685dd8b1,kaptain-worker3,Pending,2026-09-17T22:19:16Z,2026-09-17T22:19:16Z,True
pilot-burst2-005,pilot-burst2-005,82c26a0b-3892-428d-9d19-3bab76f0bcb6,kaptain-worker,Pending,2026-09-17T22:19:16Z,2026-09-17T22:19:16Z,True
pilot-burst2-006,pilot-burst2-006,c1715a06-fe5d-4068-926c-66b0bab5b839,kaptain-worker2,Pending,2026-09-17T22:19:17Z,2026-09-17T22:19:17Z,True
pilot-burst2-007,pilot-burst2-007,37d7a5ad-e50f-467f-93c3-b93710acce0d,kaptain-worker3,Pending,2026-09-17T22:19:17Z,2026-09-17T22:19:17Z,True
pilot-burst2-008,pilot-burst2-008,2ea18a03-41e0-4b87-a262-98a8ae7e0581,kaptain-worker3,Pending,2026-09-17T22:19:17Z,2026-09-17T22:19:17Z,True
pilot-burst2-009,pilot-burst2-009,ea90a454-a724-4e19-9af7-371e210ff2a5,kaptain-worker,Pending,2026-09-17T22:19:17Z,2026-09-17T22:19:17Z,True
pilot-steady-000,pilot-steady-000,434f3130-ecd8-4407-98f4-bc38b55c83e2,kaptain-worker,Running,2026-09-17T22:18:16Z,2026-09-17T22:18:16Z,True
pilot-steady-001,pilot-steady-001,45182584-b059-44b7-abfb-e7b0a58684db,kaptain-worker2,Running,2026-09-17T22:18:17Z,2026-09-17T22:18:17Z,True
pilot-steady-002,pilot-steady-002,d97be565-8484-4a5c-b2c6-edfc45cc43c0,kaptain-worker2,Running,2026-09-17T22:18:18Z,2026-09-17T22:18:18Z,True
pilot-steady-003,pilot-steady-003,6401566f-fdc1-4018-8595-5a5f5c89c046,kaptain-worker3,Running,2026-09-17T22:18:19Z,2026-09-17T22:18:19Z,True
pilot-steady-004,pilot-steady-004,ae5c8554-d99e-4806-a2d5-9fa485cd0fbf,kaptain-worker2,Running,2026-09-17T22:18:20Z,2026-09-17T22:18:20Z,True
pilot-steady-005,pilot-steady-005,786bdefb-185f-4450-b5bf-3b2b3dc33bd7,kaptain-worker3,Running,2026-09-17T22:18:21Z,2026-09-17T22:18:21Z,True
pilot-steady-006,pilot-steady-006,ab2b6707-7bce-4a62-986f-47f14f57f5c5,kaptain-worker3,Running,2026-09-17T22:18:22Z,2026-09-17T22:18:22Z,True
pilot-steady-007,pilot-steady-007,091a9c5f-b32f-4a8b-a7b4-ed8d7b899ae9,kaptain-worker,Running,2026-09-17T22:18:23Z,2026-09-17T22:18:23Z,True
pilot-steady-008,pilot-steady-008,40bb64c3-f7fe-4042-8282-ae59321eb7e6,kaptain-worker3,Running,2026-09-17T22:18:24Z,2026-09-17T22:18:24Z,True
pilot-steady-009,pilot-steady-009,0226f7fa-f671-42cf-8044-f1f76353414f,kaptain-worker,Running,2026-09-17T22:18:25Z,2026-09-17T22:18:25Z,True
pilot-steady-010,pilot-steady-010,f0cd8b16-93ce-4cf0-8d89-db9d0dcb6698,kaptain-worker3,Running,2026-09-17T22:18:26Z,2026-09-17T22:18:26Z,True
pilot-steady-011,pilot-steady-011,1d6a861c-3c02-4577-ae6d-25c8a8d421a6,kaptain-worker2,Running,2026-09-17T22:18:27Z,2026-09-17T22:18:27Z,True
pilot-steady-012,pilot-steady-012,75289fea-7950-4767-ab11-92e2a33da1de,kaptain-worker2,Running,2026-09-17T22:18:28Z,2026-09-17T22:18:28Z,True
pilot-steady-013,pilot-steady-013,e52a8437-8371-4381-96cf-5f95600bdd39,kaptain-worker,Running,2026-09-17T22:18:29Z,2026-09-17T22:18:29Z,True
pilot-steady-014,pilot-steady-014,6fb21cc4-c8a4-42b0-8fd6-664900791f28,kaptain-worker2,Running,2026-09-17T22:18:30Z,2026-09-17T22:18:30Z,True
pilot-steady-015,pilot-steady-015,4af3ced0-bf8e-4dac-b81b-954f0d7ea4a3,kaptain-worker,Running,2026-09-17T22:18:31Z,2026-09-17T22:18:31Z,True
pilot-steady-016,pilot-steady-016,26b1754a-b82f-4ea3-ade3-8461fa69771c,kaptain-worker,Running,2026-09-17T22:18:32Z,2026-09-17T22:18:32Z,True
pilot-steady-017,pilot-steady-017,0a69c5e7-0250-4432-84a6-e6e3c1866e3f,kaptain-worker3,Running,2026-09-17T22:18:33Z,2026-09-17T22:18:33Z,True
pilot-steady-018,pilot-steady-018,0c9e80e2-96ff-45ca-8225-a681965be2b7,kaptain-worker2,Running,2026-09-17T22:18:34Z,2026-09-17T22:18:34Z,True
pilot-steady-019,pilot-steady-019,58f5b23a-561d-47a2-ab41-f5e5026deab4,kaptain-worker,Running,2026-09-17T22:18:35Z,2026-09-17T22:18:35Z,True
pilot-steady-020,pilot-steady-020,0f58380c-07ff-43e2-9ab4-e362d078f7a3,kaptain-worker2,Running,2026-09-17T22:18:36Z,2026-09-17T22:18:36Z,True
pilot-steady-021,pilot-steady-021,353887ff-ec87-4bf6-a64f-d23a4caa2793,kaptain-worker3,Running,2026-09-17T22:18:37Z,2026-09-17T22:18:37Z,True
pilot-steady-022,pilot-steady-022,4ff15e01-75fc-4365-926a-f574651f3a7a,kaptain-worker,Running,2026-09-17T22:18:38Z,2026-09-17T22:18:38Z,True
pilot-steady-023,pilot-steady-023,36a1faa8-3e34-457d-a89e-3dd07149f58a,kaptain-worker2,Running,2026-09-17T22:18:39Z,2026-09-17T22:18:39Z,True
pilot-steady-024,pilot-steady-024,5a354af0-c2c3-4cfe-830e-5f94cbbe8787,kaptain-worker,Running,2026-09-17T22:18:40Z,2026-09-17T22:18:40Z,True
pilot-steady-025,pilot-steady-025,6ba4bc31-a4e3-4be2-bdc9-dfb8fb7a8a31,kaptain-worker2,Running,2026-09-17T22:18:41Z,2026-09-17T22:18:41Z,True
pilot-steady-026,pilot-steady-026,c4eb2331-43a1-4591-aba7-e8c4e5c1e292,kaptain-worker3,Running,2026-09-17T22:18:42Z,2026-09-17T22:18:42Z,True
pilot-steady-027,pilot-steady-027,f01d0d7f-d8b3-4141-a864-fe2e5fe98c81,kaptain-worker,Running,2026-09-17T22:18:43Z,2026-09-17T22:18:43Z,True
pilot-steady-028,pilot-steady-028,1e450a49-6934-466e-b1a5-45cf9f61ef84,kaptain-worker3,Running,2026-09-17T22:18:44Z,2026-09-17T22:18:44Z,True
pilot-steady-029,pilot-steady-029,f69e2ac3-593b-4a80-8b6d-688beaad8a99,kaptain-worker,Running,2026-09-17T22:18:45Z,2026-09-17T22:18:45Z,True
