task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,0f75bbea-741c-4e08-9746-cb2baaa005d1,kaptain-worker3,Running,2026-09-17T21:13:42Z,2026-09-17T21:13:43Z,True
pilot-burst0-001,pilot-burst0-001,e18f35ae-b922-45aa-90de-5816f54bc18b,kaptain-worker,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst0-002,pilot-burst0-002,b3976b01-2aed-420c-82c9-bc8200701dd3,kaptain-worker,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst0-003,pilot-burst0-003,2dfec7be-21fe-4980-87c5-99dae308660b,kaptain-worker2,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst0-004,pilot-burst0-004,aa768f85-2c88-455e-85f7-1cf74e564a10,kaptain-worker,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst0-005,pilot-burst0-005,890b86c2-8788-4c9b-a9e9-5acc63793b92,kaptain-worker2,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst0-006,pilot-burst0-006,26712c34-58d2-4757-95e6-90001c1b70ce,kaptain-worker2,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst0-007,pilot-burst0-007,937b97cd-6a31-4555-9120-868a7d7faf2c,kaptain-worker3,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst0-008,pilot-burst0-008,6fbe307e-d9d6-4027-b106-8680cef7483a,kaptain-worker2,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst0-009,pilot-burst0-009,55f20a8f-d536-4d5d-aa19-16f9f0cc6c0f,kaptain-worker3,Running,2026-09-17T21:13:43Z,2026-09-17T21:13:43Z,True
pilot-burst1-000,pilot-burst1-000,e9c61742-e2ac-4ddc-b58d-923612dcc99a,kaptain-worker3,Running,2026-09-17T21:13:52Z,2026-09-17T21:13:52Z,True
pilot-burst1-001,pilot-burst1-001,aafddbd5-2c0f-4b60-9643-f3accceb6357,kaptain-worker2,Running,2026-09-17T21:13:52Z,2026-09-17T21:13:52Z,True
pilot-burst1-002,pilot-burst1-002,018b7e2f-6c53-4a08-b145-00cb30656109,kaptain-worker,Running,2026-09-17T21:13:53Z,2026-09-17T21:13:53Z,True
