task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,51cd347c-9e8e-463c-b704-f8d59fa984a5,kaptain-worker3,Running,2026-09-17T22:07:08Z,2026-09-17T22:07:09Z,True
pilot-burst0-001,pilot-burst0-001,9d8f60f2-8af1-4638-874a-0c7221ae2b61,kaptain-worker,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst0-002,pilot-burst0-002,ec90c031-e389-4beb-9f4b-1933d9641859,kaptain-worker,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst0-003,pilot-burst0-003,ae5001de-5e14-4e54-9c22-7be822da1b08,kaptain-worker2,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst0-004,pilot-burst0-004,75ed31d5-1b5a-41f3-8c3f-a78d897913fe,kaptain-worker,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst0-005,pilot-burst0-005,58f7e051-e07d-4ddd-ba23-9ef096eadc85,kaptain-worker2,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst0-006,pilot-burst0-006,779535c8-ed1d-4efa-8562-6a7830c83285,kaptain-worker2,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst0-007,pilot-burst0-007,1fef1b69-14c2-4075-a24e-29f56314624b,kaptain-worker3,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst0-008,pilot-burst0-008,8ddddecc-2d0e-41c0-b428-9dc9f2994d33,kaptain-worker2,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst0-009,pilot-burst0-009,c00ea274-7d83-4d31-8653-ff4c268c5127,kaptain-worker3,Running,2026-09-17T22:07:09Z,2026-09-17T22:07:09Z,True
pilot-burst1-000,pilot-burst1-000,18f75653-81be-47c7-b950-9dad48963d50,kaptain-worker3,Running,2026-09-17T22:07:18Z,2026-09-17T22:07:18Z,True
pilot-burst1-001,pilot-burst1-001,b9a0380e-6e62-4ffc-8d8a-141d44c9cdfd,kaptain-worker2,Running,2026-09-17T22:07:18Z,2026-09-17T22:07:18Z,True
pilot-burst1-002,pilot-burst1-002,2a56dcee-f7db-44da-b37a-8601bb37fea8,kaptain-worker,Running,2026-09-17T22:07:18Z,2026-09-17T22:07:18Z,True
pilot-burst1-003,pilot-burst1-003,46b7fd99-9d11-401f-8bb1-e7b6987bd060,kaptain-worker3,Running,2026-09-17T22:07:19Z,2026-09-17T22:07:19Z,True
pilot-burst1-004,pilot-burst1-004,af46c8b5-bda0-4a74-b8f9-873b75fe0fd8,kaptain-worker2,Running,2026-09-17T22:07:19Z,2026-09-17T22:07:19Z,True
pilot-burst1-005,pilot-burst1-005,7385a332-c997-4841-a5fd-f7f04263308b,kaptain-worker,Running,2026-09-17T22:07:19Z,2026-09-17T22:07:19Z,True
pilot-burst1-006,pilot-burst1-006,8bcfd57b-94e4-44d4-907c-ce505e14155e,kaptain-worker3,Running,2026-09-17T22:07:19Z,2026-09-17T22:07:19Z,True
pilot-burst1-007,pilot-burst1-007,3a7ebea1-975e-46a0-827f-e10c539bd6e1,kaptain-worker2,Running,2026-09-17T22:07:19Z,2026-09-17T22:07:19Z,True
pilot-burst1-008,pilot-burst1-008,b71436b7-418e-4a0b-8aac-851fbd49b3cf,kaptain-worker2,Running,2026-09-17T22:07:19Z,2026-09-17T22:07:19Z,True
pilot-burst1-009,pilot-burst1-009,c837153d-b6f5-43ab-a0ac-65e9abd2e935,kaptain-worker,Running,2026-09-17T22:07:19Z,2026-09-17T22:07:19Z,True
pilot-burst2-000,pilot-burst2-000,69b63947-1ddd-4679-8c41-3b9c86306c99,kaptain-worker,Pending,2026-09-17T22:07:28Z,2026-09-17T22:07:28Z,True
pilot-burst2-001,pilot-burst2-001,fd4853f4-6aa4-4919-97b6-d33206a8ff0b,kaptain-worker2,Pending,2026-09-17T22:07:28Z,2026-09-17T22:07:28Z,True
pilot-burst2-002,pilot-burst2-002,06202b09-74a2-484d-8e6b-eba91c3c1776,kaptain-worker3,Pending,2026-09-17T22:07:28Z,2026-09-17T22:07:28Z,True
pilot-burst2-003,pilot-burst2-003,ed5d6fcc-40ff-4fcd-b8ac-2d0d93328031,kaptain-worker,Pending,2026-09-17T22:07:29Z,2026-09-17T22:07:29Z,True
pilot-burst2-004,pilot-burst2-004,c4a23ca5-0b5c-4757-b6f9-7a90e0bd351e,kaptain-worker3,Pending,2026-09-17T22:07:29Z,2026-09-17T22:07:29Z,True
pilot-burst2-005,pilot-burst2-005,4f108700-ff5b-4dbc-9d1e-ff95efdcc57e,kaptain-worker,Pending,2026-09-17T22:07:29Z,2026-09-17T22:07:29Z,True
pilot-burst2-006,pilot-burst2-006,75138b44-2f44-40dd-8a2b-935d7ebb7fa4,kaptain-worker2,Pending,2026-09-17T22:07:29Z,2026-09-17T22:07:29Z,True
pilot-burst2-007,pilot-burst2-007,c34f4525-2899-49a7-9f05-11f3a1e7047d,kaptain-worker3,Pending,2026-09-17T22:07:29Z,2026-09-17T22:07:29Z,True
pilot-burst2-008,pilot-burst2-008,07803aa2-0060-4980-93f1-c7c9e71e4951,kaptain-worker3,Pending,2026-09-17T22:07:29Z,2026-09-17T22:07:29Z,True
pilot-burst2-009,pilot-burst2-009,2187d8ab-338d-45cd-8c2e-1462f6e74170,kaptain-worker,Pending,2026-09-17T22:07:29Z,2026-09-17T22:07:29Z,True
pilot-steady-000,pilot-steady-000,6ff2e23e-0589-4ec2-bb89-80ab853a5050,kaptain-worker,Running,2026-09-17T22:06:28Z,2026-09-17T22:06:28Z,True
pilot-steady-001,pilot-steady-001,6f049fc0-e632-40d5-9762-7639241805a9,kaptain-worker2,Running,2026-09-17T22:06:29Z,2026-09-17T22:06:29Z,True
pilot-steady-002,pilot-steady-002,e4f9f9ac-34db-48cd-b6b9-1163f451f78a,kaptain-worker2,Running,2026-09-17T22:06:30Z,2026-09-17T22:06:30Z,True
pilot-steady-003,pilot-steady-003,13c65d4b-6512-4463-8175-caafbe225acd,kaptain-worker3,Running,2026-09-17T22:06:31Z,2026-09-17T22:06:31Z,True
pilot-steady-004,pilot-steady-004,9385d4da-8457-4189-8ba2-c9cb1161d4ac,kaptain-worker2,Running,2026-09-17T22:06:32Z,2026-09-17T22:06:32Z,True
pilot-steady-005,pilot-steady-005,d12f7f18-2e3c-4f94-b345-23f3800e688e,kaptain-worker3,Running,2026-09-17T22:06:33Z,2026-09-17T22:06:33Z,True
pilot-steady-006,pilot-steady-006,658b590e-76ac-4ccb-a44a-6742113f8cbb,kaptain-worker3,Running,2026-09-17T22:06:34Z,2026-09-17T22:06:34Z,True
pilot-steady-007,pilot-steady-007,a414e0b3-730c-4f14-aed7-5d0212d57559,kaptain-worker,Running,2026-09-17T22:06:35Z,2026-09-17T22:06:35Z,True
pilot-steady-008,pilot-steady-008,77917229-6cef-442d-ba4d-3f2494887110,kaptain-worker3,Running,2026-09-17T22:06:36Z,2026-09-17T22:06:36Z,True
pilot-steady-009,pilot-steady-009,b054e9fe-3073-4a1f-8842-9046e9eafb41,kaptain-worker,Running,2026-09-17T22:06:37Z,2026-09-17T22:06:37Z,True
