task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,ef565bc4-751a-46dc-a0b8-1176459ec332,kaptain-worker3,Running,2026-09-17T22:14:45Z,2026-09-17T22:14:45Z,True
pilot-burst0-001,pilot-burst0-001,aad79786-1286-4e67-9bf8-e7de259124e8,kaptain-worker,Running,2026-09-17T22:14:45Z,2026-09-17T22:14:45Z,True
pilot-burst0-002,pilot-burst0-002,074bbae2-ece3-4f08-b166-8eaf1895ff89,kaptain-worker,Running,2026-09-17T22:14:45Z,2026-09-17T22:14:45Z,True
pilot-burst0-003,pilot-burst0-003,7f7ecdd6-9360-4128-9cf6-a719723a9635,kaptain-worker2,Running,2026-09-17T22:14:45Z,2026-09-17T22:14:45Z,True
pilot-burst0-004,pilot-burst0-004,c6243628-7968-4f26-b66e-ae3d92240a88,kaptain-worker,Running,2026-09-17T22:14:45Z,2026-09-17T22:14:45Z,True
pilot-burst0-005,pilot-burst0-005,2278a690-3ea5-403a-9645-2c0712155544,kaptain-worker2,Running,2026-09-17T22:14:45Z,2026-09-17T22:14:45Z,True
pilot-burst0-006,pilot-burst0-006,71623880-6fd9-4ab3-93db-60420b1c1e1f,kaptain-worker2,Running,2026-09-17T22:14:45Z,2026-09-17T22:14:45Z,True
pilot-burst0-007,pilot-burst0-007,9797eb1e-9168-467b-a535-a3ab2d71825d,kaptain-worker3,Running,2026-09-17T22:14:46Z,2026-09-17T22:14:46Z,True
pilot-burst0-008,pilot-burst0-008,442975e7-12bc-4bff-b741-90bd2fd24b59,kaptain-worker2,Running,2026-09-17T22:14:46Z,2026-09-17T22:14:46Z,True
pilot-burst0-009,pilot-burst0-009,9c8cafa1-e39e-4d80-8385-2e49da9beb9a,kaptain-worker3,Running,2026-09-17T22:14:46Z,2026-09-17T22:14:46Z,True
pilot-burst1-000,pilot-burst1-000,c0de6f0a-8c2d-4029-b0ac-8dd9abef7aed,kaptain-worker3,Running,2026-09-17T22:14:55Z,2026-09-17T22:14:55Z,True
pilot-burst1-001,pilot-burst1-001,c3de5028-255b-47c0-a2f4-060b6db1150e,kaptain-worker2,Running,2026-09-17T22:14:55Z,2026-09-17T22:14:55Z,True
pilot-burst1-002,pilot-burst1-002,342ade5f-8ffa-4a4c-b80f-31e4b771e35c,kaptain-worker,Running,2026-09-17T22:14:55Z,2026-09-17T22:14:55Z,True
pilot-burst1-003,pilot-burst1-003,c626a09f-06f3-492f-b07a-e5d09392f4d5,kaptain-worker3,Running,2026-09-17T22:14:55Z,2026-09-17T22:14:55Z,True
pilot-burst1-004,pilot-burst1-004,82c99310-c89e-4caa-b7fe-8b374f09657f,kaptain-worker2,Running,2026-09-17T22:14:55Z,2026-09-17T22:14:55Z,True
