task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,83d49f07-905c-4ff1-831a-da19dad3e8c5,kaptain-worker3,Running,2026-09-17T21:08:38Z,2026-09-17T21:08:38Z,True
pilot-burst0-001,pilot-burst0-001,d5e2bd63-a2aa-489e-bd2e-780dcbabe37a,kaptain-worker,Running,2026-09-17T21:08:38Z,2026-09-17T21:08:38Z,True
pilot-burst0-002,pilot-burst0-002,8c70b61b-ab37-4bc6-b7fd-6290f13e8a1f,kaptain-worker,Running,2026-09-17T21:08:38Z,2026-09-17T21:08:38Z,True
pilot-burst0-003,pilot-burst0-003,61cef0ca-4c33-4c90-a3ce-92c7d2e49012,kaptain-worker2,Running,2026-09-17T21:08:38Z,2026-09-17T21:08:38Z,True
pilot-burst0-004,pilot-burst0-004,d88f2a54-496e-487f-a78c-2463f98055eb,kaptain-worker,Running,2026-09-17T21:08:38Z,2026-09-17T21:08:38Z,True
pilot-burst0-005,pilot-burst0-005,2bdb4afd-f6a9-4f67-8fc8-8b2956f922d2,kaptain-worker2,Running,2026-09-17T21:08:38Z,2026-09-17T21:08:38Z,True
pilot-burst0-006,pilot-burst0-006,a1bd7f90-193c-48d7-bcd8-9785c5412870,kaptain-worker2,Running,2026-09-17T21:08:38Z,2026-09-17T21:08:38Z,True
pilot-burst0-007,pilot-burst0-007,fe346ef0-c19c-4b28-a7a5-8a6f57e5f391,kaptain-worker3,Running,2026-09-17T21:08:39Z,2026-09-17T21:08:39Z,True
pilot-burst0-008,pilot-burst0-008,e072e29e-9245-451f-bfe3-0a1c9414a10f,kaptain-worker2,Running,2026-09-17T21:08:39Z,2026-09-17T21:08:39Z,True
pilot-burst0-009,pilot-burst0-009,441473d7-1b8d-4aca-a34b-708c46bd9679,kaptain-worker3,Running,2026-09-17T21:08:39Z,2026-09-17T21:08:39Z,True
pilot-burst1-000,pilot-burst1-000,dd6baba9-a3dd-41f4-a352-edfdf029176f,kaptain-worker3,Running,2026-09-17T21:08:48Z,2026-09-17T21:08:48Z,True
pilot-burst1-001,pilot-burst1-001,9773d19a-5ff3-4c38-b50f-ba798f79993a,kaptain-worker2,Running,2026-09-17T21:08:48Z,2026-09-17T21:08:48Z,True
pilot-burst1-002,pilot-burst1-002,6ff353ff-0bac-455d-b200-d929ecd01b89,kaptain-worker,Running,2026-09-17T21:08:48Z,2026-09-17T21:08:48Z,True
pilot-burst1-003,pilot-burst1-003,8b641634-9d15-4bf6-9fa3-fc2b18946da9,kaptain-worker3,Running,2026-09-17T21:08:48Z,2026-09-17T21:08:48Z,True
pilot-burst1-004,pilot-burst1-004,ce466214-e9c5-4d66-a528-a6ecc6e33d76,kaptain-worker2,Running,2026-09-17T21:08:48Z,2026-09-17T21:08:48Z,True
pilot-burst1-005,pilot-burst1-005,25605fce-b075-46ec-8e25-d1173b185793,kaptain-worker,Running,2026-09-17T21:08:48Z,2026-09-17T21:08:48Z,True
pilot-burst1-006,pilot-burst1-006,570202b8-ffaa-4a66-b5a4-3d8b2837688d,kaptain-worker3,Running,2026-09-17T21:08:48Z,2026-09-17T21:08:48Z,True
