task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,bc0bcc17-b4c7-420f-a484-0fccdc57ed19,kaptain-worker3,Running,2026-09-17T22:12:13Z,2026-09-17T22:12:13Z,True
pilot-burst0-001,pilot-burst0-001,d7bb6fe5-e285-4e7e-9a8d-a700d3ea4a96,kaptain-worker,Running,2026-09-17T22:12:13Z,2026-09-17T22:12:13Z,True
pilot-burst0-002,pilot-burst0-002,3cbe7ccf-1340-4aa5-a37a-26cbf0ad686c,kaptain-worker,Running,2026-09-17T22:12:13Z,2026-09-17T22:12:13Z,True
pilot-burst0-003,pilot-burst0-003,b3f0184d-8649-406b-9383-7e4364a1ae0f,kaptain-worker2,Running,2026-09-17T22:12:13Z,2026-09-17T22:12:13Z,True
pilot-burst0-004,pilot-burst0-004,05512865-1054-47b3-86c6-213a2f254316,kaptain-worker,Running,2026-09-17T22:12:13Z,2026-09-17T22:12:13Z,True
pilot-burst0-005,pilot-burst0-005,55a8e081-85c4-45d6-95a7-5026058533e7,kaptain-worker2,Running,2026-09-17T22:12:13Z,2026-09-17T22:12:13Z,True
pilot-burst0-006,pilot-burst0-006,434c9051-1a3c-4889-b6bf-4178057026b5,kaptain-worker2,Running,2026-09-17T22:12:13Z,2026-09-17T22:12:13Z,True
pilot-burst0-007,pilot-burst0-007,c3bce18c-7a83-4360-a36b-b1093c0a73b8,kaptain-worker3,Running,2026-09-17T22:12:13Z,2026-09-17T22:12:13Z,True
pilot-burst0-008,pilot-burst0-008,2fc261ee-985e-49f3-a9c8-060062461ef3,kaptain-worker2,Running,2026-09-17T22:12:14Z,2026-09-17T22:12:14Z,True
pilot-burst0-009,pilot-burst0-009,52830084-8806-44e0-9d2f-18152e996fdc,kaptain-worker3,Running,2026-09-17T22:12:14Z,2026-09-17T22:12:14Z,True
pilot-burst1-000,pilot-burst1-000,bc956780-074a-4516-9e04-4a3d251783c5,kaptain-worker3,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-001,pilot-burst1-001,7507e34d-8cea-40fc-bdf9-a0180a2c5222,kaptain-worker2,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-002,pilot-burst1-002,3d2950c4-2d95-4e28-baee-00cfaa76d7e3,kaptain-worker,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-003,pilot-burst1-003,306e6c1f-fb96-4d33-9973-e6e02ce61226,kaptain-worker3,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-004,pilot-burst1-004,90f62569-699a-4a1d-9553-f824907ff9b4,kaptain-worker2,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-005,pilot-burst1-005,590ba508-1254-41e3-8497-cc1eaa30e0b5,kaptain-worker,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-006,pilot-burst1-006,ca07bb6a-7049-4d13-94e5-99fe6d2e6a49,kaptain-worker3,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-007,pilot-burst1-007,715b21d3-47d9-49d0-9d52-b57a4e495640,kaptain-worker2,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-008,pilot-burst1-008,908b428b-56ac-47a7-ac71-cee9ea828260,kaptain-worker2,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst1-009,pilot-burst1-009,54a05cc2-d223-4b1d-a468-45d849415d44,kaptain-worker,Running,2026-09-17T22:12:23Z,2026-09-17T22:12:23Z,True
pilot-burst2-000,pilot-burst2-000,adc7be6e-1743-4129-9e21-9e4620d0ab94,kaptain-worker,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-001,pilot-burst2-001,3b714deb-f698-497f-88de-0442d18d45ab,kaptain-worker2,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-002,pilot-burst2-002,79040ea3-f5ec-4db3-8f48-ad344badb6bd,kaptain-worker3,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-003,pilot-burst2-003,d6de5d1c-312f-4402-b30a-8882bfbed895,kaptain-worker,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-004,pilot-burst2-004,d2e2208e-19c7-45e3-8c37-6aca873acc2f,kaptain-worker3,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-005,pilot-burst2-005,c11f1a36-f42d-43be-b3f9-a8df4ba4369e,kaptain-worker,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-006,pilot-burst2-006,43b8bc63-3bbb-41bc-a855-654308ce1e36,kaptain-worker2,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-007,pilot-burst2-007,030c42f4-5a69-4298-a3f5-86048b46787a,kaptain-worker3,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-008,pilot-burst2-008,73a1dbed-0a35-49cb-96fe-94c2daf3280b,kaptain-worker3,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-burst2-009,pilot-burst2-009,29a61b65-a361-45f6-84fb-d37069e72fc2,kaptain-worker,Pending,2026-09-17T22:12:33Z,2026-09-17T22:12:33Z,True
pilot-steady-000,pilot-steady-000,4e96a880-d433-453d-87fd-380c62bcb089,kaptain-worker,Running,2026-09-17T22:11:33Z,2026-09-17T22:11:33Z,True
pilot-steady-001,pilot-steady-001,83f8c70c-c6a0-4f3b-af83-b9f8c0897511,kaptain-worker2,Running,2026-09-17T22:11:34Z,2026-09-17T22:11:34Z,True
pilot-steady-002,pilot-steady-002,f43d0bdb-ea83-4dbe-ba9c-c6c45e8c585c,kaptain-worker2,Running,2026-09-17T22:11:35Z,2026-09-17T22:11:35Z,True
pilot-steady-003,pilot-steady-003,e5c8e78f-c009-4755-8e53-5fd08ca2db79,kaptain-worker3,Running,2026-09-17T22:11:36Z,2026-09-17T22:11:36Z,True
pilot-steady-004,pilot-steady-004,d938821e-be76-42c8-9c4c-7c53c6938a83,kaptain-worker2,Running,2026-09-17T22:11:37Z,2026-09-17T22:11:37Z,True
pilot-steady-005,pilot-steady-005,c25f250b-9c08-424e-bc04-0ea3e37787ba,kaptain-worker3,Running,2026-09-17T22:11:38Z,2026-09-17T22:11:38Z,True
pilot-steady-006,pilot-steady-006,83daa685-5a74-4416-af83-ede1504ce6a8,kaptain-worker3,Running,2026-09-17T22:11:39Z,2026-09-17T22:11:39Z,True
pilot-steady-007,pilot-steady-007,be25e2bf-190e-40ad-a0bc-4a70c9614676,kaptain-worker,Running,2026-09-17T22:11:40Z,2026-09-17T22:11:40Z,True
pilot-steady-008,pilot-steady-008,4b4611ec-87e6-4c7d-83de-7ce73ba40e13,kaptain-worker3,Running,2026-09-17T22:11:41Z,2026-09-17T22:11:41Z,True
pilot-steady-009,pilot-steady-009,e50b5fc5-606a-4e5f-902f-312dbcbc97b1,kaptain-worker,Running,2026-09-17T22:11:42Z,2026-09-17T22:11:42Z,True
pilot-steady-010,pilot-steady-010,a9cacdfc-09dc-4352-84d7-6a5841abf329,kaptain-worker3,Running,2026-09-17T22:11:43Z,2026-09-17T22:11:43Z,True
pilot-steady-011,pilot-steady-011,ec49a9fb-b6f1-483f-8737-ca78ae1a0200,kaptain-worker2,Running,2026-09-17T22:11:44Z,2026-09-17T22:11:44Z,True
pilot-steady-012,pilot-steady-012,8c2ce1d6-bb6e-45d0-9169-7639484ad790,kaptain-worker2,Running,2026-09-17T22:11:45Z,2026-09-17T22:11:45Z,True
pilot-steady-013,pilot-steady-013,80857a49-38f5-458a-ac91-72d8e471caf5,kaptain-worker,Running,2026-09-17T22:11:46Z,2026-09-17T22:11:46Z,True
pilot-steady-014,pilot-steady-014,d5c633e6-3d69-414b-a771-49cfd0569d58,kaptain-worker2,Running,2026-09-17T22:11:47Z,2026-09-17T22:11:47Z,True
pilot-steady-015,pilot-steady-015,10ed5c1f-b33a-4c5a-a8a1-3b3af2a81013,kaptain-worker,Running,2026-09-17T22:11:48Z,2026-09-17T22:11:48Z,True
pilot-steady-016,pilot-steady-016,0ebf6729-3f2d-48b1-ae44-586bb1716dcc,kaptain-worker,Running,2026-09-17T22:11:49Z,2026-09-17T22:11:49Z,True
pilot-steady-017,pilot-steady-017,2df88b39-1856-4af2-b61f-ed80db0a8727,kaptain-worker3,Running,2026-09-17T22:11:50Z,2026-09-17T22:11:50Z,True
pilot-steady-018,pilot-steady-018,883022c6-a409-4a3b-ace7-45f0297346a5,kaptain-worker2,Running,2026-09-17T22:11:51Z,2026-09-17T22:11:51Z,True
pilot-steady-019,pilot-steady-019,faf4235c-7ce6-4502-8e77-528b55183f99,kaptain-worker,Running,2026-09-17T22:11:52Z,2026-09-17T22:11:52Z,True
pilot-steady-020,pilot-steady-020,0affa10c-705b-4dbb-ab15-045aa0a32f6c,kaptain-worker2,Running,2026-09-17T22:11:53Z,2026-09-17T22:11:53Z,True
pilot-steady-021,pilot-steady-021,6eec4e02-985c-4405-9a62-ea11ab08fba2,kaptain-worker3,Running,2026-09-17T22:11:54Z,2026-09-17T22:11:54Z,True
pilot-steady-022,pilot-steady-022,02bf0db8-9e29-47dd-a67f-f0c042f7a46f,kaptain-worker,Running,2026-09-17T22:11:55Z,2026-09-17T22:11:55Z,True
pilot-steady-023,pilot-steady-023,3fc0a3f7-2238-492d-8d2c-d0cb9e766bbd,kaptain-worker2,Running,2026-09-17T22:11:56Z,2026-09-17T22:11:56Z,True
pilot-steady-024,pilot-steady-024,a93cc09d-13af-496e-9ed3-db496d707b18,kaptain-worker,Running,2026-09-17T22:11:57Z,2026-09-17T22:11:57Z,True
pilot-steady-025,pilot-steady-025,21d634b9-de5c-4130-b661-4b419450919e,kaptain-worker2,Running,2026-09-17T22:11:58Z,2026-09-17T22:11:58Z,True
pilot-steady-026,pilot-steady-026,0d764486-e924-499a-bf97-977b982c385f,kaptain-worker3,Running,2026-09-17T22:11:59Z,2026-09-17T22:11:59Z,True
pilot-steady-027,pilot-steady-027,6be3c60e-b2b6-475d-920c-95fc863afd05,kaptain-worker,Running,2026-09-17T22:12:00Z,2026-09-17T22:12:00Z,True
