task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,7fe7670d-b8f5-411e-8830-6ddb13aafdf8,kaptain-worker3,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-001,pilot-burst0-001,7d14601e-6c7a-41be-90c8-7b01131e3ee2,kaptain-worker,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-002,pilot-burst0-002,5c98b518-8b32-4940-882d-a20b1bb1854d,kaptain-worker,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-003,pilot-burst0-003,8aeb84b5-4dbd-4be0-8520-a21387d487fb,kaptain-worker2,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-004,pilot-burst0-004,a65c1b05-3e21-48e6-98f8-a8a6c2d992b0,kaptain-worker,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-005,pilot-burst0-005,8aee57a7-81dd-4864-acf9-bb26c1b65de6,kaptain-worker2,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-006,pilot-burst0-006,13a6e87d-fadf-4eeb-b049-e3b8b9f6fb6c,kaptain-worker2,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-007,pilot-burst0-007,a0537a15-d889-46f1-9080-89dbd86eb00b,kaptain-worker3,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-008,pilot-burst0-008,cc887fc8-bd2b-4c7e-a81c-77d1e7e8b92d,kaptain-worker2,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst0-009,pilot-burst0-009,85d54922-eb58-4357-be1b-ce31bc9c7a9a,kaptain-worker3,Running,2026-09-17T21:22:36Z,2026-09-17T21:22:36Z,True
pilot-burst1-000,pilot-burst1-000,3d75733a-76cd-411d-9625-243e36058005,kaptain-worker3,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-001,pilot-burst1-001,9ce243fd-5d7d-4d58-9e29-38bbfa8d71cb,kaptain-worker2,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-002,pilot-burst1-002,99940808-2d7c-4cee-8611-ac5e6dd94f8f,kaptain-worker,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-003,pilot-burst1-003,f800caa5-eebb-41aa-8a8a-bef366ca78af,kaptain-worker3,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-004,pilot-burst1-004,2bfb319d-c5f3-439b-9eaf-7091dfd2f543,kaptain-worker2,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-005,pilot-burst1-005,aa1a6d89-f8a4-4863-835a-623b810b80aa,kaptain-worker,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-006,pilot-burst1-006,a0e171ca-e303-4229-8bf4-736746e23d34,kaptain-worker3,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-007,pilot-burst1-007,cdc6f4b6-10a0-4074-8f04-ca6bc1ac7437,kaptain-worker2,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-008,pilot-burst1-008,b5bbd362-2c2c-4bc5-9e9c-42a0656d8496,kaptain-worker2,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst1-009,pilot-burst1-009,600c155a-56f0-45be-a0a4-6567d0bdc22d,kaptain-worker,Running,2026-09-17T21:22:46Z,2026-09-17T21:22:46Z,True
pilot-burst2-000,pilot-burst2-000,20a3abe3-54a1-4276-8740-018d9fb3f62a,kaptain-worker,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-001,pilot-burst2-001,686b8364-5b6c-49f0-89b2-829d35035e09,kaptain-worker2,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-002,pilot-burst2-002,838786fb-87be-4de2-8454-74da452f184f,kaptain-worker3,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-003,pilot-burst2-003,05e73111-299b-4473-8b46-6230b5784d8b,kaptain-worker,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-004,pilot-burst2-004,243ccce2-9331-40ab-9352-0b025cea5e6d,kaptain-worker3,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-005,pilot-burst2-005,e62554f1-4c2d-446f-88d8-8f489ac2b118,kaptain-worker,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-006,pilot-burst2-006,fb166eec-e45b-47e5-bd25-83aaf125c0d2,kaptain-worker2,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-007,pilot-burst2-007,125143e7-5f7d-4a19-b551-9e6372d82f2a,kaptain-worker3,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-008,pilot-burst2-008,3f9504de-6fdd-4abe-9be3-54a7d41bc1d1,kaptain-worker3,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-burst2-009,pilot-burst2-009,1caa3af6-41d2-4027-862e-f17ce5ecb815,kaptain-worker,Pending,2026-09-17T21:22:56Z,2026-09-17T21:22:56Z,True
pilot-steady-000,pilot-steady-000,2e55d96d-f695-4dab-a9db-bcdf7edb6733,kaptain-worker,Running,2026-09-17T21:21:56Z,2026-09-17T21:21:56Z,True
pilot-steady-001,pilot-steady-001,8a28ba47-9ae8-4429-9512-6d9bb3696eda,kaptain-worker2,Running,2026-09-17T21:21:57Z,2026-09-17T21:21:57Z,True
