task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,17221ea4-9c55-43e0-bd64-1d73a2b92e3e,kaptain-worker3,Running,2026-09-17T22:00:48Z,2026-09-17T22:00:48Z,True
pilot-burst0-001,pilot-burst0-001,4499837e-839d-43e1-9a89-1d3fe81e21e6,kaptain-worker,Running,2026-09-17T22:00:48Z,2026-09-17T22:00:48Z,True
pilot-burst0-002,pilot-burst0-002,a8151a71-a2e3-4eec-b293-84da786cb59a,kaptain-worker,Running,2026-09-17T22:00:48Z,2026-09-17T22:00:48Z,True
pilot-burst0-003,pilot-burst0-003,8df192bc-e81f-4753-8c3f-d72f3f332b47,kaptain-worker2,Running,2026-09-17T22:00:48Z,2026-09-17T22:00:48Z,True
pilot-burst0-004,pilot-burst0-004,09fe7849-2f90-42cf-bb1c-34cc8dbff947,kaptain-worker,Running,2026-09-17T22:00:48Z,2026-09-17T22:00:48Z,True
pilot-burst0-005,pilot-burst0-005,e39743d5-1c59-40d0-a9a1-d5fa240535cc,kaptain-worker2,Running,2026-09-17T22:00:48Z,2026-09-17T22:00:48Z,True
pilot-burst0-006,pilot-burst0-006,594b1a80-9a6b-4ac9-92ec-8cd82bace6ce,kaptain-worker2,Running,2026-09-17T22:00:48Z,2026-09-17T22:00:48Z,True
pilot-burst0-007,pilot-burst0-007,598b8d86-4c97-4d02-ad23-ca96320b6f61,kaptain-worker3,Running,2026-09-17T22:00:49Z,2026-09-17T22:00:49Z,True
pilot-burst0-008,pilot-burst0-008,ced6eaaa-024d-4ae9-87f3-4a889a7a21cc,kaptain-worker2,Running,2026-09-17T22:00:49Z,2026-09-17T22:00:49Z,True
pilot-burst0-009,pilot-burst0-009,f2bcd3bd-e2e2-46b3-acf3-d5b4a31efeb9,kaptain-worker3,Running,2026-09-17T22:00:49Z,2026-09-17T22:00:49Z,True
pilot-burst1-000,pilot-burst1-000,ca781eb2-6dad-452a-a9f4-dfd671e0449b,kaptain-worker3,Running,2026-09-17T22:00:58Z,2026-09-17T22:00:58Z,True
pilot-burst1-001,pilot-burst1-001,f0d1117f-3d85-4b1c-aba1-9fb308bedb1a,kaptain-worker2,Running,2026-09-17T22:00:58Z,2026-09-17T22:00:58Z,True
pilot-burst1-002,pilot-burst1-002,f2d55261-e850-4372-b02a-8bfed068d8cb,kaptain-worker,Running,2026-09-17T22:00:58Z,2026-09-17T22:00:58Z,True
pilot-burst1-003,pilot-burst1-003,8b22f4a6-3598-456f-8173-b17fdf6c4995,kaptain-worker3,Running,2026-09-17T22:00:58Z,2026-09-17T22:00:58Z,True
pilot-burst1-004,pilot-burst1-004,57bb9d53-7c0d-438c-8965-4fc8f5fe00f9,kaptain-worker2,Running,2026-09-17T22:00:58Z,2026-09-17T22:00:58Z,True
pilot-burst1-005,pilot-burst1-005,69cb67e7-41b8-4a26-99cb-464abe05fc11,kaptain-worker,Running,2026-09-17T22:00:58Z,2026-09-17T22:00:58Z,True
pilot-burst1-006,pilot-burst1-006,4bd7c85b-6511-47d7-b40d-892496d349cf,kaptain-worker3,Running,2026-09-17T22:00:58Z,2026-09-17T22:00:58Z,True
pilot-burst1-007,pilot-burst1-007,3fb7b07d-5d06-492e-abe3-e7255388bcc3,kaptain-worker2,Running,2026-09-17T22:00:59Z,2026-09-17T22:00:59Z,True
pilot-burst1-008,pilot-burst1-008,225f4e3a-2558-4576-8961-d4827f3fc7ae,kaptain-worker2,Running,2026-09-17T22:00:59Z,2026-09-17T22:00:59Z,True
pilot-burst1-009,pilot-burst1-009,ade332a8-a8f1-4478-b5c8-b2bba9c18dc4,kaptain-worker,Running,2026-09-17T22:00:59Z,2026-09-17T22:00:59Z,True
