task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,e895b775-8e6e-4658-8daf-9d61a8e1a30a,kaptain-worker3,Running,2026-09-17T21:21:19Z,2026-09-17T21:21:19Z,True
pilot-burst0-001,pilot-burst0-001,78f62534-79d8-4a64-afad-23853572b625,kaptain-worker,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst0-002,pilot-burst0-002,e772debd-51c7-45e1-a9b9-9693d10273ce,kaptain-worker,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst0-003,pilot-burst0-003,277cd193-2e4c-4645-bec6-75a36f542cbc,kaptain-worker2,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst0-004,pilot-burst0-004,5c29d71e-71ca-484a-860d-6c3e82c69f27,kaptain-worker,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst0-005,pilot-burst0-005,e4f1fa23-06a7-49ec-9d89-05274d77ba11,kaptain-worker2,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst0-006,pilot-burst0-006,c4fab2d0-db52-44ed-bd5a-221c7f7e70d6,kaptain-worker2,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst0-007,pilot-burst0-007,8c89db01-a821-44b2-b873-c14e44e65c1c,kaptain-worker3,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst0-008,pilot-burst0-008,2f91277c-e260-424f-aa09-1596dd8f6ba9,kaptain-worker2,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst0-009,pilot-burst0-009,9bf8be7b-e866-45ab-956f-04804b5d324a,kaptain-worker3,Running,2026-09-17T21:21:20Z,2026-09-17T21:21:20Z,True
pilot-burst1-000,pilot-burst1-000,1c1a8ba5-3038-49ff-b85b-e1fcfaa3a83e,kaptain-worker3,Running,2026-09-17T21:21:29Z,2026-09-17T21:21:29Z,True
pilot-burst1-001,pilot-burst1-001,daa91ea9-ed8b-4f5a-9433-333dc4cf33fc,kaptain-worker2,Running,2026-09-17T21:21:30Z,2026-09-17T21:21:30Z,True
pilot-burst1-002,pilot-burst1-002,9eb643a7-9664-4df9-b7b3-b24331da8fcc,kaptain-worker,Running,2026-09-17T21:21:30Z,2026-09-17T21:21:30Z,True
pilot-burst1-003,pilot-burst1-003,4d8e66d0-4763-45a7-ae16-ebae01a1251b,kaptain-worker3,Running,2026-09-17T21:21:30Z,2026-09-17T21:21:30Z,True
pilot-burst1-004,pilot-burst1-004,f6dc7d30-e72a-445b-9b78-65d89718daa8,kaptain-worker2,Running,2026-09-17T21:21:30Z,2026-09-17T21:21:30Z,True
pilot-burst1-005,pilot-burst1-005,2f76831e-3c3f-43d4-a431-c9935e6b581d,kaptain-worker,Running,2026-09-17T21:21:30Z,2026-09-17T21:21:30Z,True
pilot-burst1-006,pilot-burst1-006,8cb15ad6-19f8-4a19-a916-75d39f6e3187,kaptain-worker3,Running,2026-09-17T21:21:30Z,2026-09-17T21:21:30Z,True
